longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-0.94406,52.19277,1,1,4,3,70,0.0,,5.0,1,1.0,2,10,Evening,1.0,0,1,4,0
-3.51361,50.72297,2,1,5,6,30,13.0,4.0,4.0,1,1.0,1,2,Afternoon,0.5,1,0,3,1
-3.19275,52.73235,2,2,6,6,60,0.0,,1.0,1,1.0,2,9,Morning,1.0,1,0,4,1
-4.21025,50.88107,2,3,3,6,60,0.0,,1.0,2,4.0,2,1,Morning,1.5,1,0,1,1
0.3491,50.82439,1,1,2,6,60,0.0,,1.0,1,1.0,2,9,Afternoon,1.0,0,1,4,0
-0.10437,51.51418,2,1,2,6,20,16.0,2.0,4.0,1,1.0,1,11,Evening,0.5,1,0,4,1
0.07824,51.55352,2,1,2,9,20,,9.0,4.0,9,9.0,1,8,Evening,0.5,1,0,1,1
-3.48735,55.89094,3,1,2,6,40,0.0,,4.0,1,1.0,1,12,Afternoon,0.3333333333333333,1,0,3,1
0.11174,52.23762,2,1,4,6,40,0.0,,1.0,1,1.0,1,4,Morning,0.5,1,0,3,1
-0.11275,51.47228,2,1,3,6,20,13.0,4.0,4.0,1,2.0,1,12,Morning,0.5,1,0,4,1
-3.91391,51.67762,2,1,3,7,50,0.0,4.0,4.0,1,1.0,2,2,Evening,0.5,1,0,6,4
-0.87476,52.24243,1,1,3,6,30,16.0,4.0,1.0,1,1.0,1,7,Afternoon,1.0,1,0,4,1
-2.55519,53.33901,5,1,6,3,70,0.0,,1.0,1,1.0,2,4,Afternoon,0.2,0,0,6,0
-0.34634,51.43091,2,1,7,9,20,13.0,4.0,1.0,9,9.0,1,5,Afternoon,0.5,1,0,1,1
-0.31128,52.18476,2,1,2,3,40,0.0,,1.0,1,1.0,2,12,Morning,0.5,0,1,4,0
-1.71951,53.77793,1,1,6,6,30,16.0,2.0,4.0,8,2.0,1,1,Morning,1.0,1,0,1,1
-0.40282,51.43042,1,1,7,9,30,0.0,4.0,1.0,9,9.0,1,4,Morning,1.0,1,0,2,4
-2.35194,51.06551,1,1,6,6,60,0.0,,6.0,2,2.0,2,6,Evening,1.0,0,0,3,0
-2.23955,53.79302,1,1,3,6,30,13.0,2.0,4.0,1,2.0,1,1,Evening,1.0,1,0,1,4
-1.97372,51.75313,2,3,6,6,50,13.0,4.0,6.0,1,1.0,2,3,Evening,1.5,1,0,4,1
-1.30431,50.72028,1,2,5,6,40,13.0,4.0,4.0,4,2.0,2,12,Night,2.0,1,0,4,1
-1.39382,53.25652,2,1,6,6,30,13.0,4.0,4.0,2,2.0,1,4,Evening,0.5,1,0,2,4
-0.04542,51.69073,2,1,3,3,50,19.0,4.0,4.0,1,1.0,2,10,Evening,0.5,1,0,4,1
-0.09337,51.50124,2,1,7,6,20,16.0,2.0,1.0,1,1.0,1,8,Afternoon,0.5,1,0,4,4
-1.30413,53.36385,2,1,1,6,30,13.0,4.0,1.0,1,1.0,1,4,Afternoon,0.5,1,0,1,1
-1.2216,52.96201,4,1,6,6,30,0.0,,1.0,1,1.0,1,3,Afternoon,0.25,1,0,1,1
-4.23144,52.91985,3,3,1,6,20,0.0,,1.0,1,1.0,2,7,Afternoon,1.0,0,0,1,0
-0.0279,51.40993,1,2,5,6,30,13.0,4.0,4.0,2,2.0,1,3,Evening,2.0,1,0,1,1
-0.18292,51.60863,1,1,3,2,30,13.0,4.0,4.0,8,2.0,1,11,Evening,1.0,1,0,4,2
-2.41104,53.59701,2,1,1,3,30,16.0,,1.0,1,2.0,1,5,Morning,0.5,1,0,4,4
-1.55731,52.94352,1,1,2,6,50,0.0,,6.0,2,2.0,2,12,Afternoon,1.0,0,1,4,0
-0.04566,51.61133,2,1,4,3,50,,9.0,1.0,1,1.0,1,1,Morning,0.5,1,0,4,1
-1.3812,54.90389,1,1,7,6,30,0.0,,4.0,1,1.0,1,6,Evening,1.0,1,0,2,1
